"","data","tipo_divida","Credor_completo","contrato","tipo_credor","mutuario","tipo_mutuario","Status","valor","mes","ano","mes_ano","data_mes","Credor","nome_projeto","top_mutuario","pos_ini_mutuario","pos_ini_Credor","pos_ini_tipo_divida","pos_ini_ano"
"1",2016-05-10,"Interna","Caixa Econômica Federal","CAIXA - 20090492","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",2517082.46,"05",2016,"201605",2016-05-01,"CAIXA","Execução de Obras/Serviços/Estudos/Projetos no Âmbito do Programa Saneamento para Todos","Rio de Janeiro (Estado)",0,0,0,0
"2",2016-05-10,"Interna","Caixa Econômica Federal","CAIXA - 20110707","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",826.42,"05",2016,"201605",2016-05-01,"CAIXA","Programa de Infraestrutura de Transporte e da Mobilidade Urbana - Pró-Transporte. Obras de Complementação do Corredor Viário denominado Via Light.","Rio de Janeiro (Estado)",2517082.46,2517082.46,2517082.46,2517082.46
"3",2016-05-10,"Interna","Caixa Econômica Federal","CAIXA - 20120842","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",7967046.55,"05",2016,"201605",2016-05-01,"CAIXA","PROCOI - Programa Coordenado de Investimentos","Rio de Janeiro (Estado)",2517908.88,2517908.88,2517908.88,2517908.88
"4",2016-05-10,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",814584,"05",2016,"201605",2016-05-01,"CAIXA","Programa Saneamento para Todos","Rio de Janeiro (Estado)",10484955.43,10484955.43,10484955.43,10484955.43
"5",2016-05-24,"Interna","Banco do Brasil S/A","BB - 2013850","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",116947772.21,"05",2016,"201605",2016-05-01,"BB","Programa de Melhoria da Infra-Estrutura para Grandes Eventos - PRÓ-CIDADES II/RJ. Lei nº 6.368, de 20/12/2012","Rio de Janeiro (Estado)",11299539.43,0,11299539.43,11299539.43
"6",2016-05-25,"Externa","Agência Francesa de Desevolvimento","AFD CBR 1042","Agências Governamentais","Rio de Janeiro (Estado)","Estados","Honra de Aval",30162688.1,"05",2016,"201605",2016-05-01,"AFD","Apoio ao Programa de Integração e Mobilidade Urbana da Região Metropolitana do Rio de Janeiro","Rio de Janeiro (Estado)",128247311.64,0,0,128247311.64
"7",2016-05-31,"Interna","Caixa Econômica Federal","CAIXA - 20100571","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9195719.93,"05",2016,"201605",2016-05-01,"CAIXA","Programa PAC Favelas","Rio de Janeiro (Estado)",158409999.74,11299539.43,128247311.64,158409999.74
"8",2016-05-31,"Interna","Banco do Brasil S/A","BB - 2012769","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",9969305.78,"05",2016,"201605",2016-05-01,"BB","Programa de Apoio ao Investimento dos Estados e do Distrito Federal - PROINVESTE - Resolução CMN nº 4.109, de 05/07/2012","Rio de Janeiro (Estado)",167605719.67,116947772.21,137443031.57,167605719.67
"9",2016-06-06,"Interna","Caixa Econômica Federal","CAIXA - 20120747","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",837261.47,"06",2016,"201606",2016-06-01,"CAIXA","Programa Saneamento para Todos","Rio de Janeiro (Estado)",177575025.45,20495259.36,147412337.35,177575025.45
"10",2016-06-06,"Interna","Banco Nacional de Desenvolvimento Econômico e Social","BNDES - 2013848","Bancos Federais","Rio de Janeiro (Estado)","Estados","Honra de Aval",59429299.11,"06",2016,"201606",2016-06-01,"BNDES","Projeto de Implantação do Metrô - Linha 4 - PRO-ML4. Lei nº 6.413, de 13/03/2013","Rio de Janeiro (Estado)",178412286.92,0,148249598.82,178412286.92
